Date,Description,Amount,Type
2026-03-01,Salary Credit Tech Corp,85000.00,credit
2026-03-02,House Rent Payment,22000.00,debit
2026-03-04,BESCOM Electricity Bill,1850.00,debit
2026-03-05,Swiggy Bangalore,420.00,debit
2026-03-07,Blinkit Instant Grocery,1250.00,debit
2026-03-08,Amazon India Marketplace,2499.00,debit
2026-03-10,Netflix Subscription,649.00,debit
2026-03-12,Uber India Trip,340.00,debit
2026-03-14,Zomato Online Order,580.00,debit
2026-03-15,Zerodha Broking Fund Add,15000.00,debit
2026-03-18,Cult Fitness Gym Membership,1500.00,debit
2026-03-20,Apollo Pharmacy Medicines,680.00,debit
2026-03-22,Shell Fuel Station,2100.00,debit
2026-03-25,Starbucks Coffee,380.00,debit
2026-03-28,Airtel Broadband Fiber,1179.00,debit
